bin,count,avg_predicted_probability,actual_escalation_rate,absolute_error
0.0-0.1,268,0.01576392467,0.04104477612,0.02528085145
0.1-0.2,25,0.1432423049,0,0.1432423049
0.2-0.3,21,0.249272941,0.04761904762,0.2016538934
0.3-0.4,22,0.3403248199,0,0.3403248199
0.4-0.5,33,0.4568535002,0.06060606061,0.3962474396
0.5-0.6,52,0.5514026425,0.03846153846,0.5129411041
0.6-0.7,26,0.6361672171,0.1923076923,0.4438595248
0.7-0.8,9,0.770620258,0.2222222222,0.5483980357
0.8-0.9,8,0.8371737665,0.375,0.4621737665
0.9-1.0,4,0.9306274098,0.5,0.4306274098
