feature_set,model,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_brier,mean_f1,mean_recall,mean_precision
Conflict + V-Dem lagged,Balanced Logistic Regression,0.6896343944,0.026674361,0.1771161632,0.03754918187,0.3023571723,0.2436197326,0.3313757321,0.1975307121
Conflict only,Balanced Logistic Regression,0.6965699253,0.005919396635,0.1733112225,0.01539313863,0.2605107024,0.2420001734,0.3182136491,0.1959115455
Conflict + WB lagged,Weighted Random Forest,0.6880920598,0.02074838875,0.1720140199,0.03696599636,0.1432775596,0.3003032812,0.3254233512,0.3051946898
Conflict + WB + V-Dem lagged,Balanced Logistic Regression,0.6609792158,0.06432051188,0.1598769807,0.08044978787,0.2342616356,0.2780787119,0.4767634326,0.2237229599
All leakage-safe features,Balanced Logistic Regression,0.6609884269,0.06617569254,0.1474454728,0.06733056944,0.2271214252,0.2754584988,0.4502482811,0.2355245696
Conflict + Geo lagged,Balanced Logistic Regression,0.715710416,0.01180701578,0.1461846797,0.01679656427,0.2427896325,0.2209551914,0.3553603259,0.1719933587
Conflict + WB lagged,Balanced Logistic Regression,0.6485159187,0.09004431604,0.1449296992,0.06985072995,0.2457370107,0.2659521745,0.5765215177,0.191995685
Conflict only,Weighted Random Forest,0.6674965806,0.01779251133,0.1384029733,0.04068905609,0.1643995654,0.2304273463,0.3594187675,0.1829713928
Conflict + WB lagged,Weighted XGBoost,0.6618391661,0.0161318599,0.135856477,0.02615414913,0.127528764,0.2562059893,0.3957696715,0.204911793
Conflict only,Weighted XGBoost,0.6496208944,0.04464905784,0.134140943,0.01534641763,0.1425355056,0.2509119548,0.2785204991,0.2439455311
Conflict + WB + V-Dem lagged,Weighted Random Forest,0.6537251887,0.05774129419,0.1335254073,0.0358942915,0.1627938246,0.2539874994,0.3233384263,0.2298180347
All leakage-safe features,Weighted Random Forest,0.6562298806,0.05199499987,0.132138789,0.03302789038,0.1613428161,0.2505294761,0.339938248,0.2145707745
Conflict + Geo lagged,Weighted Random Forest,0.6798575258,0.01587915118,0.1277235352,0.01098037773,0.1773220423,0.2402788861,0.3626814362,0.1809115078
Conflict + Geo lagged,Weighted XGBoost,0.6415703323,0.04633639664,0.1209966523,0.01529873653,0.1474031822,0.2328598879,0.2732047364,0.2101671963
Conflict + WB + V-Dem lagged,Weighted XGBoost,0.665661397,0.03819470033,0.1196897995,0.0342835693,0.1448249072,0.2049780395,0.4187834225,0.1556895567
All leakage-safe features,Weighted XGBoost,0.6658303448,0.036769167,0.1092446973,0.02229235106,0.1408095103,0.1999978355,0.3712439521,0.1425233056
Conflict + V-Dem lagged,Weighted Random Forest,0.6160144921,0.03324870723,0.09522427259,0.02132353772,0.1939680025,0.1859652748,0.5112203972,0.1174498715
Conflict + V-Dem lagged,Weighted XGBoost,0.592157878,0.03192809124,0.08446635234,0.02048752162,0.1683817114,0.1703786276,0.5379901961,0.1076483959
